zipcode,price
11360.0,0.0
11228.0,0.0
11005.0,0.0
10302.0,0.0
11243.0,0.0
10312.0,0.0
10040.0,0.0
11109.0,0.0
11378.0,0.0
11426.0,0.0
11362.0,0.0
10308.0,0.0
10004.0,0.0
11416.0,0.0
11428.0,0.0
11363.0,0.0
11366.0,0.0
10464.0,0.0
11429.0,0.0
11370.0,0.0
11203.0,0.0
11412.0,0.0
11103.0,0.0
11361.0,0.0
11697.0,0.0
11436.0,0.0
10475.0,0.0
10005.0,0.08
10454.0,0.25
11204.0,0.3
10280.0,0.48
11365.0,0.83
10020.0,1.0
10018.0,1.43
10029.0,9.25
11105.0,16.67
11357.0,16.77
10014.0,21.04
10038.0,24.39
10003.0,74.04
10039.0,233.33
10314.0,329.48
10010.0,376.25
10006.0,411.76
10013.0,416.94
11223.0,443.24
11239.0,483.32
11218.0,488.43
10016.0,873.56
10017.0,1073.65
11385.0,1111.11
10012.0,1177.87
11224.0,1250.0
10037.0,1266.45
11417.0,1334.17
10022.0,1422.95
11238.0,1444.44
11221.0,1562.5
10128.0,1597.86
11231.0,1763.89
11206.0,2038.68
10024.0,2050.85
11356.0,2074.09
11201.0,2137.52
11106.0,2179.49
10025.0,2180.0
10009.0,2191.45
11216.0,2204.35
10465.0,2250.0
10021.0,2267.99
11214.0,2275.13
10027.0,2397.06
10307.0,2445.27
11434.0,2500.0
10075.0,2555.13
11209.0,2613.03
10036.0,2617.27
11219.0,2724.68
11354.0,2786.7
11211.0,2807.45
10065.0,2997.17
11102.0,3199.69
11355.0,3271.91
11419.0,3333.33
11374.0,3333.49
11234.0,3456.46
10309.0,3741.11
10069.0,4344.25
10305.0,4434.78
11205.0,4640.88
11225.0,4733.33
0.0,4803.25
10032.0,4821.18
10002.0,5078.44
11691.0,5309.68
10456.0,5314.75
11104.0,5454.55
11207.0,5455.95
10023.0,5520.15
11364.0,5555.56
11237.0,5714.29
10028.0,5716.27
10026.0,5760.42
11233.0,6221.53
11222.0,6339.54
11372.0,6377.78
11101.0,6479.99
11435.0,6556.97
10306.0,6654.35
11377.0,6670.95
10310.0,6812.5
11249.0,6870.95
10044.0,6888.67
10474.0,7000.0
10011.0,7070.2
11217.0,7075.16
11232.0,7272.73
11235.0,7340.91
11373.0,7426.07
10033.0,7856.91
11208.0,8015.5
11215.0,8087.43
11230.0,8322.58
10453.0,8437.5
10461.0,8609.88
10304.0,8709.68
10007.0,8824.12
11220.0,8935.38
11213.0,9468.7
11379.0,9550.0
11694.0,9600.5
10303.0,9689.75
10451.0,10041.67
11418.0,10714.29
11368.0,10908.41
11226.0,10909.09
11229.0,10927.45
11236.0,11127.32
11413.0,11428.57
11420.0,11428.57
10035.0,11444.5
11415.0,11478.15
11358.0,12161.38
10463.0,12458.71
11375.0,13250.11
11693.0,13593.33
10452.0,13801.08
11422.0,13916.67
10466.0,14750.0
10470.0,14900.0
10019.0,14962.5
10031.0,15780.62
10473.0,15891.32
11421.0,16920.0
10030.0,17190.57
10467.0,17548.75
10301.0,18654.34
10458.0,19008.33
10469.0,19190.33
11692.0,19250.0
10471.0,19262.67
11210.0,20305.33
10460.0,21266.67
11367.0,21765.33
11414.0,21993.86
11427.0,22375.0
10001.0,23254.29
11212.0,24006.67
11432.0,24500.0
11004.0,25000.0
10455.0,25500.0
11433.0,26201.78
11369.0,29541.67
10459.0,30589.33
10468.0,31441.18
10457.0,32203.0
11423.0,35642.86
10462.0,37965.5
10034.0,39247.0
10472.0,49841.25
